ccn,facility_name,parent_system,facilities_in_system,state,city,beds,has_ED,has_behavioral_unit,hos_majteach,hos_highdpp,hos_highuc,mandate_name,mandate_status,mandate_scope,effective_date,edm_seed_title,standalone_score,standalone_band,fit_pass,acute_need,event,gravity,forge_total,forge_tier,forge_capped_to_b,forge_rationale,osha_severe_injury_count_24mo,osha_first_evidence_date,osha_first_evidence_url,incumbent_primary_vendor,incumbent_primary_category,incumbent_has_firefly_competitor,usa_recipient_name,usa_match_confidence,is_qso_candidate,edm_seed_redacted
010001,SOUTHEAST HEALTH MEDICAL CENTER,Southeast Health,1,AL,Dothan,420,True,True,0,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,CFO,100.0,Primary,True,2,1,3,6,B,False,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=3 (exec/C-suite: CFO),,,,,,,,,False,True
010005,MARSHALL MEDICAL CENTERS,,,AL,Boaz,240,True,False,0,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,,100.0,Primary,True,1,1,1,3,C,False,"Acute=1 (no AHRQ proxy signal; refines later (OSHA, contracts, 990)) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=1 (no edm_seed yet (Gravity floored))",,,,,,,,,False,False
010006,NORTH ALABAMA MEDICAL CENTER,Lifepoint Health,79,AL,Florence,338,True,False,0,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,Secretary,0.0,Deprioritized,True,1,1,1,3,C,False,"Acute=1 (no AHRQ proxy signal; refines later (OSHA, contracts, 990)) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=1 (non-exec: Secretary)",,,,,,,,,False,True
010007,MIZELL MEMORIAL HOSPITAL,,,AL,Opp,99,True,True,0,0,1,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,CEO,100.0,Primary,True,3,1,3,7,A,False,Acute=3 (safety-net hospital (high UC); proxy via AHRQ) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=3 (exec/C-suite: CEO),,,,,,,,,False,True
010011,ST. VINCENT'S EAST,Ascension Health,120,AL,Birmingham,362,True,True,0,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,Director NRM,0.0,Deprioritized,True,2,1,3,6,B,False,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=3 (exec/C-suite: Director NRM),,,,,,,,,False,True
010012,DEKALB REGIONAL MEDICAL CENTER,Quorum Health Corporation,39,AL,Fort Payne,134,True,True,0,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,SVP Finance Operations/AO,4.86,Deprioritized,True,2,1,1,4,C,False,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=1 (non-exec: SVP Finance Operations/AO),,,,,,,,,False,True
010016,SHELBY BAPTIST MEDICAL CENTER,Tenet Healthcare,77,AL,Alabaster,252,True,True,0,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,CEO,0.0,Deprioritized,True,2,1,3,6,B,False,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=3 (exec/C-suite: CEO),,,,,,,,,False,True
010018,UAB CALLAHAN EYE HOSPITAL AUTHORITY,UAB Health System,7,AL,Birmingham,106,True,False,1,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,CFO,49.47,Primary,True,2,1,3,6,B,False,Acute=2 (higher-acuity (major teaching); proxy) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=3 (exec/C-suite: CFO),,,,,,,,,False,True
010019,HELEN KELLER HOSPITAL,Huntsville Hospital Health System,8,AL,Sheffield,185,True,False,0,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,"Executive Director, Revenue Cycle",46.0,Primary,True,1,1,3,5,B,False,"Acute=1 (no AHRQ proxy signal; refines later (OSHA, contracts, 990)) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=3 (exec/C-suite: Executive Director, Revenue Cycle)",,,,,,,,,False,True
010021,DALE MEDICAL CENTER,,,AL,Ozark,89,True,True,0,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,CEO,100.0,Primary,True,2,1,3,6,B,False,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=3 (exec/C-suite: CEO),,,,,,,,,False,True
010022,FLOYD CHEROKEE MEDICAL CENTER,Advocate Health,58,AL,Centre,60,True,False,0,1,1,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,,0.0,Deprioritized,True,3,1,1,5,B,False,"Acute=3 (safety-net hospital (high DSH, high UC); proxy via AHRQ) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=1 (no edm_seed yet (Gravity floored))",,,,,,,,,False,False
010023,BAPTIST MEDICAL CENTER SOUTH,Healthcare Authority for Baptist Health,3,AL,Montgomery,432,True,True,0,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,CFO,71.47,Primary,True,2,1,3,6,B,False,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=3 (exec/C-suite: CFO),,,,,,,,,False,True
010024,JACKSON HOSPITAL & CLINIC INC,,,AL,Montgomery,344,True,True,0,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,,100.0,Primary,True,2,1,1,4,C,False,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=1 (no edm_seed yet (Gravity floored)),,,,,,True,,,False,False
010029,EAST ALABAMA MEDICAL CENTER,East Alabama Medical Center,2,AL,Opelika,429,True,True,0,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,CFO,82.0,Primary,True,2,1,3,6,B,False,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=3 (exec/C-suite: CFO),,,,,,,,,False,True
010033,UNIVERSITY OF ALABAMA HOSPITAL,UAB Health System,7,AL,Birmingham,1157,True,True,1,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,,49.47,Primary,True,2,1,1,4,C,False,"Acute=2 (higher-acuity (major teaching, behavioral health unit); proxy) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=1 (no edm_seed yet (Gravity floored))",,,,,,,,,False,False
010034,COMMUNITY HOSPITAL INC,,,AL,Tallassee,69,True,True,0,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,CFO,100.0,Primary,True,2,1,3,6,B,False,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=3 (exec/C-suite: CFO),,,,,,,,,False,True
010035,CULLMAN REGIONAL MEDICAL CENTER,Cullman Regional Medical Center,1,AL,Cullman,115,True,False,0,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,CFO,100.0,Primary,True,1,1,3,5,B,False,"Acute=1 (no AHRQ proxy signal; refines later (OSHA, contracts, 990)) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=3 (exec/C-suite: CFO)",,,,,,,,,False,True
010036,ANDALUSIA HEALTH,ScionHealth,82,AL,Andalusia,88,True,False,0,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,"Vice President, Corporate Secretary",0.0,Deprioritized,True,1,1,3,5,B,False,"Acute=1 (no AHRQ proxy signal; refines later (OSHA, contracts, 990)) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=3 (exec/C-suite: Vice President, Corporate Secretary)",,,,,,,,,False,True
010039,HUNTSVILLE HOSPITAL,Huntsville Hospital Health System,8,AL,Huntsville,881,True,True,0,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,"Executive Director, PFS",46.0,Primary,True,2,1,3,6,B,False,"Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=3 (exec/C-suite: Executive Director, PFS)",,,,,,,,,False,True
010040,GADSDEN REGIONAL MEDICAL CENTER,Community Health Systems,81,AL,Gadsden,346,True,True,0,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,Clinical Director/Assist Phcy Dir.,0.0,Deprioritized,True,2,1,3,6,B,False,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=3 (exec/C-suite: Clinical Director/Assist Phcy Dir.),,,,,,,,,False,True
010044,MARION REGIONAL MEDICAL CENTER,North Mississippi Health Services,7,AL,Hamilton,57,True,False,0,0,1,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,Business Service Director,49.47,Primary,True,3,1,3,7,A,False,Acute=3 (safety-net hospital (high UC); proxy via AHRQ) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=3 (exec/C-suite: Business Service Director),,,,,,,,,False,True
010045,FAYETTE MEDICAL CENTER,DCH Health System,3,AL,Fayette,61,True,False,0,0,1,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,Director of Business Services,71.47,Primary,True,3,1,3,7,A,False,Acute=3 (safety-net hospital (high UC); proxy via AHRQ) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=3 (exec/C-suite: Director of Business Services),,,,,,,,,False,True
010046,RIVERVIEW REGIONAL MEDICAL CENTER,Prime Healthcare Services,45,AL,Gadsden,281,True,True,0,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,Chief Financial Officer,1.15,Deprioritized,True,2,1,3,6,B,False,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=3 (exec/C-suite: Chief Financial Officer),,,,,,,,,False,True
010049,MEDICAL CENTER ENTERPRISE,Community Health Systems,81,AL,Enterprise,99,True,False,0,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,Director/Delegated Official,0.0,Deprioritized,True,1,1,3,5,B,False,"Acute=1 (no AHRQ proxy signal; refines later (OSHA, contracts, 990)) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=3 (exec/C-suite: Director/Delegated Official)",,,,,,True,,,False,True
010051,GREENE COUNTY HOSPITAL,,,AL,Eutaw,20,True,False,0,1,1,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,,100.0,Primary,True,3,1,1,5,B,False,"Acute=3 (safety-net hospital (high DSH, high UC); proxy via AHRQ) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=1 (no edm_seed yet (Gravity floored))",,,,,,,,,False,False
010052,LAKE MARTIN COMMUNITY HOSPITAL,,,AL,Dadeville,46,True,False,0,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,CEO,100.0,Primary,True,1,1,3,5,B,False,"Acute=1 (no AHRQ proxy signal; refines later (OSHA, contracts, 990)) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=3 (exec/C-suite: CEO)",,,,,,,,,False,True
010055,FLOWERS HOSPITAL,Community Health Systems,81,AL,Dothan,235,True,False,0,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,Director/Delegated Official,0.0,Deprioritized,True,1,1,3,5,B,False,"Acute=1 (no AHRQ proxy signal; refines later (OSHA, contracts, 990)) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=3 (exec/C-suite: Director/Delegated Official)",,,,,,,,,False,True
010056,ST VINCENT'S BIRMINGHAM,Ascension Health,120,AL,Birmingham,409,True,True,0,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,,0.0,Deprioritized,True,2,1,1,4,C,False,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=1 (no edm_seed yet (Gravity floored)),,,,,,,,,False,False
010058,BIBB MEDICAL CENTER,,,AL,Centreville,35,True,False,0,0,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,CEO,100.0,Primary,True,1,1,3,5,B,False,"Acute=1 (no AHRQ proxy signal; refines later (OSHA, contracts, 990)) · Event=1 (H.R.2531 / S.1232 (119th) federal-scope mandate) · Gravity=3 (exec/C-suite: CEO)",,,,,,,,,False,True
