ccn,facility_name,parent_system,facilities_in_system,state,city,beds,has_ED,has_behavioral_unit,hos_majteach,hos_highdpp,hos_highuc,mandate_name,mandate_status,mandate_scope,effective_date,edm_seed_title,fit_pass,acute_need,event,gravity,forge_total,forge_tier,forge_rationale,is_qso_candidate,edm_seed_redacted
190064,OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,Franciscan Missionaries of Our Lady Health System,11,LA,Baton Rouge,976,True,True,1,1,0,R.S. 40:2199.11–.19 (Lynne Truxillo Act),In force,state,2022-08-01,Chief Executive Officer,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (R.S. 40:2199.11–.19 (Lynne Truxillo Act) In force) · Gravity=3 (Chief Executive Officer at 976-bed system facility (11-facility)),True,True
310009,CLARA MAASS MEDICAL CENTER,RWJBarnabas Health,16,NJ,Belleville,472,True,True,0,0,1,N.J.S.A. 26:2H-5.17 (Violence Prevention in Health Care Facilities Act),In force,state,,President/CEO,True,3,3,3,27,A,Acute=3 (safety-net hospital (high UC); proxy via AHRQ) · Event=3 (N.J.S.A. 26:2H-5.17 (Violence Prevention In force) · Gravity=3 (President/CEO at 472-bed system facility (16-facility)),True,True
330101,NEW YORK-PRESBYTERIAN HOSPITAL,New York Presbyterian Healthcare System,8,NY,New York,2262,True,True,1,1,0,Ch.618/2025 (A203-B/S5294-B); Labor Law §27-b (public),Upcoming,state,2027-01-01,"Group SVP, CFO",True,3,3,3,27,A,"Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (Ch.618/2025 (A203-B/S5294-B); Labor Law  Upcoming ≤12mo (2027-01-01)) · Gravity=3 (Group SVP, CFO at 2262-bed system facility (8-facility))",True,True
450046,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI,Christus Health,32,TX,Corpus Christi,1040,True,True,0,0,1,"SB240 (88R, 2023) → Health & Safety Code Ch. 331",In force,state,2024-09-01,CEO,True,3,3,3,27,A,"Acute=3 (safety-net hospital (high UC); proxy via AHRQ) · Event=3 (SB240 (88R, 2023) → Health & Safety Code In force) · Gravity=3 (CEO at 1040-bed system facility (32-facility))",True,True
500064,HARBORVIEW MEDICAL CENTER,UW Medicine,4,WA,Seattle,413,True,True,1,1,0,RCW 49.19 (HB1162/SB5162 2025),In force,state,2026-01-01,Interim CEO,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (RCW 49.19 (HB1162/SB5162 2025) In force) · Gravity=3 (Interim CEO at 413-bed system facility (4-facility)),True,True
030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,Banner Health,33,AZ,Phoenix,766,True,True,1,1,0,ARS §36-420.03 (SB1311),In force,state,2023-07-01,CEO,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (ARS §36-420.03 (SB1311) In force) · Gravity=3 (CEO at 766-bed system facility (33-facility)),False,True
030006,TUCSON MEDICAL CENTER,TMC Healthcare,3,AZ,Tucson,596,True,True,0,0,1,ARS §36-420.03 (SB1311),In force,state,2023-07-01,CFO,True,3,3,3,27,A,Acute=3 (safety-net hospital (high UC); proxy via AHRQ) · Event=3 (ARS §36-420.03 (SB1311) In force) · Gravity=3 (CFO at 596-bed system facility (3-facility)),False,True
030023,FLAGSTAFF MEDICAL CENTER,Northern Arizona Healthcare,2,AZ,Flagstaff,264,True,True,0,1,0,ARS §36-420.03 (SB1311),In force,state,2023-07-01,Chief Operating Officer,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (ARS §36-420.03 (SB1311) In force) · Gravity=3 (Chief Operating Officer at 264-bed system facility (2-facility)),False,True
050022,RIVERSIDE COMMUNITY HOSPITAL,HCA Healthcare,185,CA,Riverside,517,True,True,1,1,0,8 CCR §3342 / Labor Code §6401.8 (SB1299),In force,state,2018-04-01,Chief Executive Officer,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (8 CCR §3342 / Labor Code §6401.8 (SB1299 In force) · Gravity=3 (Chief Executive Officer at 517-bed system facility (185-facility)),False,True
050026,GROSSMONT HOSPITAL,Sharp Healthcare,6,CA,El Cajon,536,True,True,0,1,0,8 CCR §3342 / Labor Code §6401.8 (SB1299),In force,state,2018-04-01,Director of finance,True,3,3,3,27,A,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (8 CCR §3342 / Labor Code §6401.8 (SB1299 In force) · Gravity=3 (Director of finance at 536-bed system facility (6-facility)),False,True
